Onset,Offset,Duration,Number of Faces,Gender,Age,Visual-Positive,Visual-Negative,Visual-Beauty
31.20,31.30,0.10,1,Male,33,0.00,0.23,0.41
31.30,31.40,0.10,1,Male,33,0.00,0.26,0.43
31.40,31.50,0.10,1,Male,30,0.00,0.49,0.46
31.50,31.60,0.10,1,Male,30,0.02,0.57,0.47
31.60,31.70,0.10,1,Male,34,0.01,0.40,0.46
31.70,31.80,0.10,1,Male,30,0.01,0.21,0.43
31.80,31.90,0.10,1,Male,29,0.00,0.52,0.49
31.90,32.00,0.10,1,Male,34,0.00,0.05,0.47
32.00,32.10,0.10,1,Male,30,0.00,0.05,0.46
32.10,32.20,0.10,1,Male,25,0.00,0.02,0.47
32.20,32.30,0.10,1,Male,28,0.00,0.13,0.44
32.30,32.40,0.10,1,Male,34,0.05,0.88,0.41
32.40,32.50,0.10,1,Male,32,0.04,0.95,0.43
32.50,32.60,0.10,1,Male,33,0.28,0.54,0.40
32.60,32.70,0.10,1,Male,36,0.02,0.86,0.44
32.70,32.80,0.10,1,Male,35,0.00,0.04,0.42
32.80,32.90,0.10,1,Male,33,0.01,0.03,0.42
32.90,33.00,0.10,1,Male,29,0.00,0.35,0.46
33.00,33.10,0.10,1,Male,29,0.00,0.69,0.45
33.10,33.20,0.10,1,Male,30,0.00,0.92,0.43
33.20,33.30,0.10,1,Male,31,0.01,0.82,0.45
33.30,33.40,0.10,1,Male,31,0.01,0.43,0.46
33.40,33.50,0.10,1,Male,31,0.01,0.44,0.48
33.50,33.60,0.10,1,Male,29,0.00,0.09,0.44
33.60,33.70,0.10,1,Male,28,0.00,0.10,0.43
33.70,33.80,0.10,1,Male,31,0.00,0.00,0.40
33.80,33.90,0.10,1,Male,28,0.00,0.04,0.41
33.90,34.00,0.10,1,Male,25,0.01,0.38,0.41
34.00,34.10,0.10,1,Male,29,0.01,0.97,0.42
34.10,34.20,0.10,1,Male,28,0.00,1.00,0.40
34.20,34.30,0.10,1,Male,31,0.00,0.99,0.45
